generation,best_distance,average_distance,worst_distance,best_fitness,average_fitness,worst_fitness
23,633.178746678696,686.2264750276878,753.2125441437227,0.001576842499432807,0.0014574758915573633,0.00132588619450148
24,626.6631004667066,679.6350322576022,758.862731880122,0.001593211388811032,0.0014714411690290397,0.0013160271691779228
25,627.2862023051925,677.5605880235298,751.5036166796694,0.0015916313239587043,0.0014761012286817147,0.0013288972675139798
26,633.1182964199932,675.9984561892666,740.3094135703387,0.0015769928192352202,0.0014790568819920114,0.0013489643888153803
27,628.1258001893991,677.7491006168767,752.3654052195607,0.0015895072173148022,0.0014748848564797691,0.0013273771174939473
28,620.9228632988404,673.4791773064977,730.3313301491493,0.001607916445933086,0.0014844106303733599,0.001367369287729076
29,616.7225094510093,669.929313424282,759.7334441874194,0.0016188498633289785,0.0014926105175941536,0.0013145208846025616
30,615.1623252478155,663.1786781622488,726.8219871054073,0.0016229489519629557,0.001507114188337996,0.0013739623393036824
31,615.1623252478155,659.8718128127983,703.9215934721441,0.0016229489519629557,0.001514601986393947,0.0014185974855365476
32,607.9224526908764,656.4212457569178,731.2810560762758,0.001642245240885635,0.001523080915504911,0.0013655958893136217
33,611.179793148221,654.6597453100085,702.1157513068233,0.0016335070369725188,0.001526890300993286,0.0014222409299484223
34,606.1190319921657,662.3912364579944,723.9306092129775,0.0016471234590005475,0.0015094838361999266,0.001379442373230249
35,611.179793148221,660.9613724121185,724.0805246787037,0.0016335070369725188,0.0015125381436080882,0.0013791571638793057
36,610.3001839407568,658.0773055192514,715.702493468651,0.00163585751529385,0.0015186986374651557,0.001395279085970894
37,601.4157245848411,657.8048007780769,720.3133821723088,0.001659983229503441,0.0015199329120295783,0.0013863599715679723
38,604.2264217797457,659.4826330918871,740.2684180372204,0.001652274196918522,0.0015160069275545083,0.0013490389927144964
39,612.4790812458612,657.7407296184248,720.7465696590389,0.0016300474304179813,0.0015202847224491383,0.0013855278875414831
40,610.6353543206839,651.3204380679115,719.5050286701323,0.001634961080872533,0.0015350064920634638,0.001387915365206741
41,610.6353543206839,652.2596810767837,705.9074889087702,0.001634961080872533,0.0015326826059935334,0.0014146122592981255
42,613.2409388968177,654.8279652236837,741.552637888087,0.0016280256438068244,0.001526965444928651,0.001346705875079948
43,609.0298803130876,659.7606509288581,732.8196531924086,0.0016392639643926406,0.0015156184819236464,0.0013627326491592322
44,596.3322768076943,655.7822276968162,718.4051531975048,0.001674110103917825,0.0015246389387306052,0.0013900373045082441
45,596.3322768076943,653.005890411736,735.8821228329427,0.001674110103917825,0.0015317547202395646,0.0013570691553155079
46,584.4421578324399,648.0183190470805,704.7223723166203,0.0017081106760442955,0.001543073259394381,0.0014169878116763923
47,584.4421578324399,641.2950734884952,691.5919212680745,0.0017081106760442955,0.001559056932083019,0.0014438516668936717
48,588.3477882451027,641.4281161835316,709.0816425291141,0.0016967909610345595,0.0015586589371776828,0.0014082887658358229
49,588.3477882451027,641.7502535427327,693.0442720647376,0.0016967909610345595,0.0015578051931912306,0.0014408302758915704
50,590.9390387587268,641.673046212215,724.1408492936023,0.001689363151477492,0.00155820224345815,0.0013790424315140327
51,589.3917664830814,640.1449695058471,719.634033648249,0.001693790558694481,0.0015619693781555517,0.0013876669062345636
52,583.4162381452113,636.2220262319104,719.6698882993446,0.0017111091970574705,0.0015711598767825879,0.0013875978672562908
53,578.6314542098573,639.8522676821179,705.9417025313654,0.0017252341858555297,0.0015633738041179678,0.0014145437967788188
54,577.570825012665,633.0812320710661,701.9199462498053,0.0017283968647712404,0.0015789470121876825,0.0014226371087279087
55,573.2826681868471,629.1515091613246,708.4289001396697,0.0017413027684733168,0.0015892543191576112,0.001409584526092923
56,573.2826681868471,629.0652915776252,716.8933666933235,0.0017413027684733168,0.001589552420001805,0.0013929645353962289
57,573.2826681868471,623.7682431352521,699.51584224105,0.0017413027684733168,0.0016029385655755588,0.001427519464514689
58,573.2826681868471,624.5562304517624,697.9098976433285,0.0017413027684733168,0.0016007797950306226,0.0014307995971611287
59,571.3466506928498,621.6811307618814,737.4396475924192,0.0017471928922611108,0.0016086174579352745,0.0013542068106179865
60,570.66006169499,615.428559787375,685.4497665192986,0.0017492913481396072,0.001624392975750898,0.0014567708356440767
61,562.3975194029607,614.7720421035878,673.4366512783918,0.0017749456920927028,0.0016265833598885099,0.001482718944921668
62,562.3975194029607,608.7151480655914,687.7968329799511,0.0017749456920927028,0.0016421156307932425,0.0014518069075226238
63,569.6098768797638,617.0288573707511,688.8834854284725,0.0017525108493884611,0.0016207315847993036,0.0014495201307492098
64,563.7828821237472,610.7961425828361,700.3925112124948,0.0017705919064680403,0.0016369733316044916,0.0014257352110465273
65,563.7828821237472,610.5851216064387,679.2843675876012,0.0017705919064680403,0.0016374866796928019,0.0014699735105573018
66,565.7701287089351,612.9071714557515,665.301488057487,0.0017643837410378947,0.0016313395745557867,0.001500822102191857
67,560.1346944736302,615.1942434514345,690.4435880822447,0.0017821033164560343,0.0016263440211520682,0.0014462495816521385
68,561.139850484918,607.0269019486284,663.0326759941089,0.0017789167573467194,0.001646881009881098,0.0015059499873299484
69,559.5768150042368,604.830344557359,651.8280899163153,0.0017838768447682627,0.0016528772853167532,0.0015317968320391789
70,559.5372362373352,603.4549214824837,675.087374755129,0.0017840028018702284,0.001656990930534241,0.0014790987634729733
71,558.0047109734941,599.0889968261748,682.2229099762598,0.0017888936897482001,0.00166944492234592,0.001463651153083768
72,553.9670979849487,590.0914630126043,660.5505804616892,0.001801908624188602,0.001694475132558995,0.0015116002155150564
