run,generations,generation_to_acceptable,final_distance,elapsed_seconds,valid_route,route
54,105,14,585.8755651195416,0.3732178999998723,True,36 29 13 25 20 5 1 8 24 15 39 12 32 35 38 27 31 34 26 18 21 11 10 6 17 4 14 37 19 2 33 3 28 22 7 30 9 16 23 40
55,174,26,598.1785295071272,0.6261148999983561,True,9 39 33 40 30 23 3 5 1 20 31 34 26 14 25 29 13 24 15 11 10 22 7 8 28 35 32 27 38 16 12 6 17 21 18 36 4 19 37 2
56,150,29,584.5606578124654,0.5293146000003617,True,15 22 10 21 11 6 13 7 14 38 28 3 27 32 35 39 24 4 26 5 20 29 36 18 25 19 37 40 17 8 1 31 34 16 12 9 30 23 33 2
57,243,14,543.419180626296,0.8538786999997683,True,4 13 29 8 26 10 11 21 36 7 31 38 14 19 37 25 20 34 22 1 5 28 27 3 32 35 2 33 23 24 15 39 16 12 9 18 6 17 30 40
58,196,20,579.01220855735,0.6946825000013632,True,37 14 31 5 26 38 3 27 28 11 10 17 29 13 4 23 30 2 35 33 19 34 20 25 8 1 7 36 6 18 24 15 22 39 32 16 12 9 21 40
59,167,17,596.0023817100674,0.5903545999972266,True,25 26 5 28 39 16 32 15 14 34 31 8 1 7 36 22 3 27 38 19 37 20 13 29 4 18 6 17 33 35 12 2 21 11 10 24 30 9 40 23
60,188,72,617.0026319574736,0.6649451999983285,True,23 24 22 38 14 8 29 1 15 36 7 25 37 19 26 18 17 6 9 39 27 3 31 28 32 16 12 21 11 10 5 20 34 13 4 35 2 30 40 33
61,211,18,558.6407063088589,0.7531730999980937,True,10 7 26 5 31 34 20 8 22 24 33 2 35 38 32 16 28 3 27 19 23 15 11 21 39 12 9 30 6 17 18 13 29 1 36 4 25 14 37 40
62,209,20,555.0600525014129,0.7446867999969982,True,40 15 27 3 8 20 31 34 14 19 37 4 25 23 17 1 7 36 13 29 18 10 11 21 6 24 28 22 5 26 38 35 32 39 16 2 30 33 12 9
63,128,17,565.5840549085722,0.4567677000013646,True,25 4 1 20 26 24 34 31 27 3 38 28 22 10 21 36 29 13 7 17 8 5 14 19 37 40 16 12 9 30 39 11 6 18 15 32 35 2 33 23
64,109,16,543.788958350276,0.3883352000011655,True,2 33 39 20 34 31 5 22 26 8 4 18 36 7 13 29 1 28 38 27 3 14 19 25 37 35 32 10 11 6 17 40 30 9 12 16 15 21 24 23
